DATABASE	DELTAG (kcal/mol)	DELTAG ERROR (kcal/mol)
cpd00001	-56.687	0.5
cpd00002	-673.85	3.04314
cpd00003	-529.59	4.35693
cpd00004	-524.32	4.26795
cpd00005	-736.82	4.25788
cpd00006	-742.09	4.34706
cpd00007	3.9197	0.5
cpd00008	-465.85	3.03579
cpd00009	-261.974	0.5
cpd00010	-751.994	3.45208
cpd00011	-92.26	0.5
cpd00012	-480.93	0.5
cpd00013	-18.97	0.5
cpd00014	-605.77	1.88724
cpd00015	-529.37	5.38235
cpd00016	-272	1.6643
cpd00017	-66.63	3.67778
cpd00018	-257.85	3.03334
cpd00019	-76.11	3.13995
cpd00020	-112.69	0.300152
cpd00021	0	0.5
cpd00022	-785.83	3.53441
cpd00023	-164.13	0.376755
cpd00024	-188.9	0.38211
cpd00025	-32.05	0.5
cpd00026	-762.55	3.11975
cpd00027	-218.28	1.54422
cpd00028	10000000	10000000
cpd00029	-88.29	0.5
cpd00030	10000000	10000000
cpd00031	-516.3	2.74314
cpd00032	-190.52	0.350545
cpd00033	-87.73	0.241756
cpd00034	10000000	10000000
cpd00035	-87.92	0.293304
cpd00036	-162.96	0.283054
cpd00037	-756.9	3.23624
cpd00038	-724.3	2.75126
cpd00039	-84.04	0.559228
cpd00040	-111.04	0.269641
cpd00041	-165.75	0.3447
cpd00042	-220.954	1.54405
cpd00043	-762.55	3.11975
cpd00044	-580.35	3.10735
cpd00045	-470.35	3.03799
cpd00046	-345.38	1.91544
cpd00047	-83.9	0.5
cpd00048	-177.97	0.5
cpd00049	10000000	10000000
cpd00050	-323.22	2.86902
cpd00051	-73.77	1.56283
cpd00052	-761.38	1.93092
cpd00053	-121.69	0.606668
cpd00054	-124.15	0.312619
cpd00055	-31.2	0.5
cpd00056	-368.32	2.56993
cpd00057	10000000	10000000
cpd00058	10000000	10000000
cpd00059	-194.91	1.51465
cpd00060	-75.91	0.815146
cpd00061	-316.08	0.58973
cpd00062	-813.77	1.89903
cpd00063	10000000	10000000
cpd00064	-85.66	0.508698
cpd00065	-25	1.57896
cpd00066	-51.05	0.826997
cpd00067	-9.53	0
cpd00068	-729.58	2.75434
cpd00069	-90.53	0.901239
cpd00070	-863.66	3.54191
cpd00071	-33.4	0.5
cpd00072	-431.67	1.3115
cpd00073	-48.7	0.5
cpd00074	0	0.5
cpd00075	-8.9	0.5
cpd00076	-377.65	2.76924
cpd00077	-49.38	0.882045
cpd00078	-862.04	3.5582
cpd00079	-430.78	1.50566
cpd00080	-328.68	0.378192
cpd00081	-126.15	0.5
cpd00082	-219.17	1.3556
cpd00083	-673.08	3.70081
cpd00084	-83.394	0.697389
cpd00085	-86.11	0.285609
cpd00086	-784.21	3.54855
cpd00087	-113.97	3.02459
cpd00088	22.1	4.3872
cpd00089	-430.78	1.50566
cpd00090	-521.58	2.74622
cpd00091	-397.77	1.88329
cpd00092	-61.07	1.53576
cpd00093	-48.99	0.945506
cpd00094	-111.07	0.31273
cpd00095	-320.66	0.323098
cpd00096	-553.38	1.91933
cpd00097	-190.99	4.12802
cpd00098	12.19	1.9694
cpd00099	10000000	10000000
cpd00100	-116.18	0.443991
cpd00101	-394.12	1.31756
cpd00102	-319.2	0.314914
cpd00103	-814.62	1.32186
cpd00104	-109.02	2.20701
cpd00105	-181.62	1.34975
cpd00106	-143.7	0.716896
cpd00107	-84.87	0.446773
cpd00108	-218.28	1.54422
cpd00109	10000000	10000000
cpd00110	10000000	10000000
cpd00111	-434.73	3.05915
cpd00112	-610.28	3.05995
cpd00113	-439.84	0.57919
cpd00114	-313.58	2.74351
cpd00115	-634.01	2.99123
cpd00116	-41.9	0.5
cpd00117	-87.92	0.293304
cpd00118	-6.02	0.526313
cpd00119	-45.63	1.132
cpd00120	-782.59	3.56481
cpd00121	-219.96	1.50038
cpd00122	-212.63	1.63473
cpd00123	-111.26	0.38619
cpd00124	10000000	10000000
cpd00125	-93.65	3.08833
cpd00126	-308.3	2.74042
cpd00127	-9.9	0.786095
cpd00128	78.85	2.7289
cpd00129	-62.54	0.943971
cpd00130	-201	0.310287
cpd00131	0	0.5
cpd00132	-123.31	0.587299
cpd00133	5.55	1.50579
cpd00134	-763.15	3.91127
cpd00136	-92.53	0.894593
